,Case ID,K means cluster
127,ECLI-NL-GHSHE-2009-BH0702,Production
128,ECLI-NL-RBZWB-2017-7685,50
129,ECLI-NL-GHDHA-2013-3408,Possession
130,ECLI-NL-GHAMS-2011-BQ8109,49
131,ECLI-NL-CRVB-2021-1604,Selling
132,ECLI-NL-RBMAA-2010-BN3088,42
133,ECLI-NL-GHSHE-2004-AP1036,42
134,ECLI-NL-GHAMS-2021-3470,Transport
135,ECLI-NL-RBAMS-2021-992,Selling
136,ECLI-NL-RBMNE-2020-1508,42
137,ECLI-NL-RBNNE-2017-807,5
138,ECLI-NL-RBGEL-2015-6183,45
139,ECLI-NL-RBUTR-2011-BV5349,42
140,ECLI-NL-RBUTR-2011-BV5471,42
141,ECLI-NL-CRVB-2005-AT0129,5
142,ECLI-NL-GHAMS-2011-BQ8112,Transport
143,ECLI-NL-OGHNAA-2010-BM7471,19
144,ECLI-NL-RBOBR-2018-1667,Production
145,ECLI-NL-RBGEL-2016-3348,42
146,ECLI-NL-RBROT-2003-AI0298,Transport
147,ECLI-NL-RBROT-2021-10718,21
148,ECLI-NL-GHAMS-2019-1758,65
149,ECLI-NL-RBMNE-2018-6462,Possession
150,ECLI-NL-RBAMS-2018-2843,42
151,ECLI-NL-RBUTR-2007-BC0812,Transport
152,ECLI-NL-PHR-2003-AK3618,42
153,ECLI-NL-HR-2003-AK3618,42
154,ECLI-NL-RBROT-2019-8229,42
155,ECLI-NL-RBROT-2018-6609,Transport
156,ECLI-NL-OGHNAA-2010-BO0092,19
157,ECLI-NL-OGHNAA-2010-BL8335,19
158,ECLI-NL-RBROT-2019-5629,42
159,ECLI-NL-RBAMS-2020-4809,9
160,ECLI-NL-RBGEL-2019-4371,50
161,ECLI-NL-GHARL-2017-11540,0
162,ECLI-NL-RBOBR-2015-681,42
163,ECLI-NL-RBMAA-2011-BU7452,Selling
164,ECLI-NL-RBMAA-2011-BU7453,Selling
165,ECLI-NL-RBUTR-2011-BV5230,Selling
166,ECLI-NL-RBHAA-2009-BL1056,Transport
167,ECLI-NL-RBALK-2007-BA0816,42
168,ECLI-NL-RBALK-2007-BA0820,42
169,ECLI-NL-CRVB-2004-AR3605,Selling
170,ECLI-NL-RBDHA-2021-559,Selling
171,ECLI-NL-RBMNE-2020-5621,Transport
172,ECLI-NL-RBMNE-2020-5643,42
173,ECLI-NL-RBOBR-2018-1915,Production
174,ECLI-NL-RBZUT-2012-BW7681,42
175,ECLI-NL-GHAMS-2004-AT7212,42
176,ECLI-NL-RBNNE-2019-4418,64
177,ECLI-NL-RBROT-2019-5628,42
178,ECLI-NL-RBOVE-2021-3587,21
179,ECLI-NL-GHARL-2021-3028,24
180,ECLI-NL-RBROT-2020-1581,Selling
181,ECLI-NL-GHAMS-2018-4059,Possession
182,ECLI-NL-GHAMS-2016-304,21
183,ECLI-NL-GHSHE-2013-404,Selling
184,ECLI-NL-CRVB-2006-AY6147,42
185,ECLI-NL-RBBRE-2005-AS5631,42
186,ECLI-NL-RBBRE-2005-AS5640,Production
187,ECLI-NL-RBBRE-2005-AS5645,Production
188,ECLI-NL-PHR-2021-33,65
189,ECLI-NL-RBMNE-2020-5619,Transport
190,ECLI-NL-RBMNE-2020-5645,Transport
191,ECLI-NL-GHAMS-2020-1666,42
192,ECLI-NL-RBASS-2002-AF1854,Production
193,ECLI-NL-GHAMS-2000-AE9770,42
194,ECLI-NL-RBOBR-2017-4459,37
195,ECLI-NL-GHDHA-2019-922,65
196,ECLI-NL-GHDHA-2019-923,65
197,ECLI-NL-GHDHA-2019-924,65
198,ECLI-NL-GHDHA-2019-925,65
199,ECLI-NL-GHDHA-2019-926,65
200,ECLI-NL-GHDHA-2019-927,65
201,ECLI-NL-GHDHA-2019-928,65
202,ECLI-NL-GHDHA-2019-921,65
203,ECLI-NL-GHDHA-2019-929,65
204,ECLI-NL-HR-2019-10,42
205,ECLI-NL-PHR-2018-1308,42
206,ECLI-NL-RBROT-2020-5432,42
207,ECLI-NL-RBROT-2019-10918,Transport
208,ECLI-NL-RBNNE-2019-167,42
209,ECLI-NL-GHAMS-2017-4817,Selling
210,ECLI-NL-RBOBR-2017-4876,50
211,ECLI-NL-RBAMS-2015-3864,Production
212,ECLI-NL-GHSHE-2014-3538,63
213,ECLI-NL-RBLIM-2013-3877,42
214,ECLI-NL-RBROE-2012-BW3517,42
215,ECLI-NL-RBGRO-2011-BR4370,55
216,ECLI-NL-CRVB-2010-BN3889,Selling
217,ECLI-NL-RBGEL-2021-2858,65
218,ECLI-NL-GHSHE-2019-4348,2
219,ECLI-NL-CRVB-2019-2745,2
220,ECLI-NL-GHAMS-2017-833,63
221,ECLI-NL-RBAMS-2016-9038,42
222,ECLI-NL-RBZWB-2015-6574,45
223,ECLI-NL-GHSHE-2014-683,21
224,ECLI-NL-RBLIM-2020-9774,5
225,ECLI-NL-HR-2018-1545,42
226,ECLI-NL-PHR-2018-982,Transport
227,ECLI-NL-RBGRO-2010-BN8759,9
228,ECLI-NL-GHSHE-2010-BM0974,Selling
229,ECLI-NL-RBROT-2021-1367,Selling
230,ECLI-NL-RBROT-2021-1234,20
231,ECLI-NL-GHARL-2019-7065,65
232,ECLI-NL-GHSHE-2015-1480,63
233,ECLI-NL-GHAMS-2008-BC5072,Transport
234,ECLI-NL-CRVB-2003-AO5312,42
235,ECLI-NL-GHARL-2019-6152,14
236,ECLI-NL-RBDHA-2021-3759,20
237,ECLI-NL-RBAMS-2020-6285,13
238,ECLI-NL-GHAMS-2019-3280,56
239,ECLI-NL-RBMNE-2019-816,65
240,ECLI-NL-CRVB-2010-BN8774,Selling
241,ECLI-NL-RBLEE-2004-AR8583,3
242,ECLI-NL-RBMNE-2018-5688,42
243,ECLI-NL-GHDHA-2018-954,Production
244,ECLI-NL-RBSGR-2004-AR2800,22
