,Case ID,K means cluster
3059,ECLI-NL-PHR-2014-1927,Production
3060,ECLI-NL-RBALM-2012-BY2160,Transport
3061,ECLI-NL-RBHAA-2010-BP5656,42
3062,ECLI-NL-GHARN-2006-AZ3471,13
3063,ECLI-NL-GHSHE-2006-AZ0083,27
3064,ECLI-NL-RBZWB-2021-5175,9
3065,ECLI-NL-RBLIM-2020-6937,3
3066,ECLI-NL-GHAMS-2018-4058,42
3067,ECLI-NL-RBROT-2018-7543,42
3068,ECLI-NL-RBOBR-2014-7199,Transport
3069,ECLI-NL-RBARN-2010-BN1979,58
3070,ECLI-NL-RBZLY-2009-BH3317,16
3071,ECLI-NL-RBNNE-2021-5060,3
3072,ECLI-NL-RBROT-2021-11714,64
3073,ECLI-NL-RBOVE-2021-2068,Possession
3074,ECLI-NL-RBAMS-2021-6669,13
3075,ECLI-NL-RBOVE-2021-1228,42
3076,ECLI-NL-RBOVE-2021-1230,Transport
3077,ECLI-NL-RBROT-2021-870,50
3078,ECLI-NL-GHAMS-2021-161,Selling
3079,ECLI-NL-RBZWB-2021-250,50
3080,ECLI-NL-RBNNE-2020-5019,3
3081,ECLI-NL-RBMNE-2020-5054,64
3082,ECLI-NL-RBROT-2020-12690,Transport
3083,ECLI-NL-RBNHO-2020-4754,25
3084,ECLI-NL-RBOVE-2020-869,20
3085,ECLI-NL-RBROT-2019-8779,5
3086,ECLI-NL-RVS-2019-1661,Selling
3087,ECLI-NL-RBZWB-2019-1390,50
3088,ECLI-NL-RVS-2019-730,Selling
3089,ECLI-NL-RBAMS-2018-9476,42
3090,ECLI-NL-RBLIM-2018-3599,50
3091,ECLI-NL-GHSHE-2018-801,Production
3092,ECLI-NL-RVS-2017-456,67
3093,ECLI-NL-RBNNE-2017-338,Possession
3094,ECLI-NL-OGEAC-2016-38,Transport
3095,ECLI-NL-RBLIM-2016-3315,50
3096,ECLI-NL-RBOBR-2015-7605,50
3097,ECLI-NL-GHDHA-2015-4036,58
3098,ECLI-NL-RBAMS-2015-3866,42
3099,ECLI-NL-GHSHE-2014-4780,63
3100,ECLI-NL-RBNNE-2014-5473,11
3101,ECLI-NL-RBNHO-2014-5605,Transport
3102,ECLI-NL-RBMNE-2013-BZ1125,69
3103,ECLI-NL-RBARN-2010-BO1991,42
3104,ECLI-NL-RBAMS-2010-BM6291,40
3105,ECLI-NL-RBMAA-2010-BL6783,Possession
3106,ECLI-NL-RBMAA-2009-BI1360,21
3107,ECLI-NL-RBBRE-2008-BG6271,Possession
3108,ECLI-NL-RBZLY-2008-BD6541,42
3109,ECLI-NL-RBZUT-2008-BC8712,26
3110,ECLI-NL-RBBRE-2004-AR4380,42
3111,ECLI-NL-PHR-2001-AB1520,Transport
3112,ECLI-NL-GHSHE-2019-755,Transport
3113,ECLI-NL-RBAMS-2021-1104,Transport
3114,ECLI-NL-RBLIM-2020-8114,Selling
3115,ECLI-NL-RBROT-2018-665,Selling
3116,ECLI-NL-RBAMS-2016-9626,Selling
3117,ECLI-NL-RBAMS-2012-BZ0993,42
3118,ECLI-NL-RBHAA-2011-BS1671,Selling
3119,ECLI-NL-RBNNE-2020-2083,49
3120,ECLI-NL-RBMNE-2019-3856,54
3121,ECLI-NL-RBONE-2013-BZ0606,Transport
3122,ECLI-NL-RBSHE-2012-BY4184,Selling
3123,ECLI-NL-GHARN-2012-BX6113,52
3124,ECLI-NL-RBMNE-2020-3270,Selling
3125,ECLI-NL-RBOBR-2021-4889,3
3126,ECLI-NL-RBLIM-2020-9559,20
3127,ECLI-NL-RBZWB-2020-2720,Production
3128,ECLI-NL-RVS-2020-581,2
3129,ECLI-NL-RBZWB-2019-4982,Production
3130,ECLI-NL-RBDHA-2019-332,42
3131,ECLI-NL-RBOBR-2017-5665,42
3132,ECLI-NL-RBOBR-2015-7659,Selling
3133,ECLI-NL-PHR-2014-2832,Selling
3134,ECLI-NL-RBSGR-2010-BM1425,26
3135,ECLI-NL-RBALK-2009-BJ4697,42
3136,ECLI-NL-RBMAA-2008-BE2911,49
3137,ECLI-NL-RBMNE-2021-3822,47
3138,ECLI-NL-RBMNE-2021-2417,42
3139,ECLI-NL-RBOVE-2019-2665,42
3140,ECLI-NL-RBOVE-2019-2668,42
3141,ECLI-NL-RBDHA-2019-1024,13
3142,ECLI-NL-RBMNE-2017-1990,42
3143,ECLI-NL-GHSHE-2015-1518,27
3144,ECLI-NL-RBROE-2006-AZ4994,Possession
3145,ECLI-NL-GHSHE-2021-3316,42
3146,ECLI-NL-RBMNE-2017-4673,1
3147,ECLI-NL-RBBRE-2012-BY3945,Possession
3148,ECLI-NL-RBBRE-2006-AY6613,Transport
3149,ECLI-NL-HR-2005-AT5907,Money laundering
3150,ECLI-NL-PHR-2003-AF9695,27
3151,ECLI-NL-RBAMS-2001-AD3544,42
3152,ECLI-NL-RBMNE-2020-904,39
3153,ECLI-NL-HR-2016-740,60
3154,ECLI-NL-HR-2016-742,60
3155,ECLI-NL-RBAMS-2017-3310,Selling
3156,ECLI-NL-RBROT-2021-6968,13
3157,ECLI-NL-RBLIM-2021-1554,42
3158,ECLI-NL-RBGEL-2020-7075,42
3159,ECLI-NL-RBAMS-2020-7170,42
3160,ECLI-NL-OGEAA-2019-761,Transport
3161,ECLI-NL-RVS-2013-CA3703,51
3162,ECLI-NL-RBBRE-2012-BY6439,64
3163,ECLI-NL-PHR-2012-BV8290,42
3164,ECLI-NL-PHR-2011-BP3274,42
3165,ECLI-NL-GHSGR-2009-BJ1229,21
3166,ECLI-NL-PHR-2007-BA7663,Selling
3167,ECLI-NL-RBZUT-2007-AZ7239,42
3168,ECLI-NL-RBALK-2006-AZ0880,Transport
3169,ECLI-NL-PHR-2004-AR2036,46
3170,ECLI-NL-HR-1989-ZC8266,42
3171,ECLI-NL-RBOVE-2021-4571,5
3172,ECLI-NL-RBROT-2021-11392,Selling
3173,ECLI-NL-RBLIM-2021-7964,50
3174,ECLI-NL-GHARL-2021-9974,54
3175,ECLI-NL-RBROT-2021-10179,42
3176,ECLI-NL-RBZWB-2021-4464,50
3177,ECLI-NL-RBMNE-2021-4108,54
3178,ECLI-NL-RBLIM-2021-5703,24
3179,ECLI-NL-RBZWB-2020-5546,51
3180,ECLI-NL-RBLIM-2020-8057,50
3181,ECLI-NL-RBAMS-2020-4257,23
3182,ECLI-NL-RBOVE-2019-700,9
3183,ECLI-NL-RBROT-2019-1914,20
3184,ECLI-NL-RBROT-2018-3042,Selling
3185,ECLI-NL-RBROT-2018-1075,Transport
3186,ECLI-NL-RBOBR-2017-3665,Production
3187,ECLI-NL-RBNHO-2017-291,21
3188,ECLI-NL-GHDHA-2013-2763,42
3189,ECLI-NL-RBGRO-2012-BX2335,Possession
3190,ECLI-NL-RBUTR-2011-BR5117,42
3191,ECLI-NL-RBGRO-2010-BL2659,Transport
3192,ECLI-NL-RBUTR-2009-BK4671,42
3193,ECLI-NL-RBAMS-2009-BI2912,42
3194,ECLI-NL-RBAMS-2008-BG8354,5
3195,ECLI-NL-RBARN-2008-BC6084,5
3196,ECLI-NL-RBMAA-2007-BA3568,27
3197,ECLI-NL-PHR-2005-AU3482,Production
3198,ECLI-NL-RBNNE-2021-1080,56
3199,ECLI-NL-RBMNE-2019-1588,39
3200,ECLI-NL-RBDHA-2019-8036,42
3201,ECLI-NL-RVS-2019-486,60
3202,ECLI-NL-RBAMS-2017-9503,42
3203,ECLI-NL-RBROT-2017-8649,21
3204,ECLI-NL-RBGEL-2016-6862,Production
3205,ECLI-NL-RBGEL-2014-4628,42
3206,ECLI-NL-PHR-2013-BZ2952,42
3207,ECLI-NL-RBUTR-2011-BV6324,42
3208,ECLI-NL-RBROE-2009-BK5150,42
3209,ECLI-NL-RBSGR-2005-AU3872,42
3210,ECLI-NL-GHAMS-2000-AA9213,Money laundering
3211,ECLI-NL-RBNNE-2021-1941,56
3212,ECLI-NL-RBMNE-2020-152,Transport
3213,ECLI-NL-RBGEL-2018-5193,42
3214,ECLI-NL-RBMNE-2017-3232,Selling
3215,ECLI-NL-GHARN-2012-BX6121,52
3216,ECLI-NL-RBAMS-2020-4515,Transport
3217,ECLI-NL-RBDHA-2019-321,46
3218,ECLI-NL-RBDHA-2016-10815,46
3219,ECLI-NL-RBAMS-2012-BV3609,Transport
3220,ECLI-NL-GHARL-2021-5977,42
3221,ECLI-NL-GHARL-2021-2539,Possession
3222,ECLI-NL-RBAMS-2018-2135,40
3223,ECLI-NL-GHAMS-2018-5227,42
3224,ECLI-NL-RBAMS-2018-1746,54
3225,ECLI-NL-HR-2006-AU8923,42
3226,ECLI-NL-RBZWB-2020-2535,Production
3227,ECLI-NL-RBHAA-2009-BH7988,Possession
3228,ECLI-NL-RBMNE-2021-4712,Selling
3229,ECLI-NL-RBDHA-2021-9863,42
3230,ECLI-NL-GHSHE-2019-4874,Production
3231,ECLI-NL-PHR-2015-973,14
3232,ECLI-NL-GHDHA-2013-3398,6
3233,ECLI-NL-RBARN-2012-BW8271,Possession
3234,ECLI-NL-GHSGR-2011-BR2433,52
3235,ECLI-NL-RBHAA-2009-BI3519,19
3236,ECLI-NL-RBZWB-2013-BZ7138,Production
3237,ECLI-NL-HR-2021-1233,Production
3238,ECLI-NL-RBGEL-2020-6014,42
3239,ECLI-NL-RBGEL-2020-3368,14
3240,ECLI-NL-RBNNE-2019-3976,Possession
3241,ECLI-NL-RBAMS-2019-4852,46
3242,ECLI-NL-RVS-2018-1259,30
3243,ECLI-NL-GHSHE-2018-742,Money laundering
3244,ECLI-NL-RBNNE-2017-4941,Possession
3245,ECLI-NL-RBZWB-2016-3683,50
3246,ECLI-NL-HR-2016-743,42
3247,ECLI-NL-RBDHA-2016-3717,14
3248,ECLI-NL-RBGEL-2015-1129,56
3249,ECLI-NL-RBNNE-2014-6826,5
3250,ECLI-NL-RBZUT-2012-BY7868,42
3251,ECLI-NL-RBROE-2012-BV2729,42
3252,ECLI-NL-PHR-2006-AV2372,19
3253,ECLI-NL-RBUTR-2005-BP8641,52
3254,ECLI-NL-GHSHE-2019-964,Selling
3255,ECLI-NL-RBGEL-2020-3264,Transport
3256,ECLI-NL-GHARL-2019-3070,Production
3257,ECLI-NL-RBMAA-2010-BO2530,Production
3258,ECLI-NL-RBOVE-2021-4535,5
3259,ECLI-NL-RBROT-2021-7765,42
3260,ECLI-NL-RBGEL-2021-3265,3
3261,ECLI-NL-RBMNE-2021-2499,Possession
3262,ECLI-NL-RBROT-2021-1706,Possession
3263,ECLI-NL-RBGEL-2021-267,Possession
3264,ECLI-NL-RBLIM-2020-8920,50
3265,ECLI-NL-RBMNE-2020-2281,42
3266,ECLI-NL-RBMNE-2020-2048,50
3267,ECLI-NL-OGEAA-2020-117,Transport
3268,ECLI-NL-RBGEL-2019-5155,42
3269,ECLI-NL-RVS-2019-2611,Selling
3270,ECLI-NL-RBOVE-2019-288,Transport
3271,ECLI-NL-RBOBR-2017-3531,20
3272,ECLI-NL-RBZWB-2017-1954,50
3273,ECLI-NL-RVS-2017-646,67
3274,ECLI-NL-GHAMS-2016-1765,Transport
3275,ECLI-NL-RVS-2015-1690,Possession
3276,ECLI-NL-PHR-2014-1623,Transport
3277,ECLI-NL-PHR-2013-2433,Selling
3278,ECLI-NL-GHARL-2013-9058,56
3279,ECLI-NL-RBSHE-2012-BX5655,11
3280,ECLI-NL-RBASS-2012-BW9110,42
3281,ECLI-NL-PHR-2012-BW9188,42
3282,ECLI-NL-GHSHE-2010-BN9352,42
3283,ECLI-NL-RBARN-2010-BL0910,0
3284,ECLI-NL-PHR-2009-BI3559,Selling
3285,ECLI-NL-GHSGR-2006-AV3157,14
3286,ECLI-NL-GHSGR-2006-AV3155,14
3287,ECLI-NL-HR-2005-AT9028,46
3288,ECLI-NL-RBSHE-2005-AT6530,Transport
3289,ECLI-NL-RBZWO-2004-AO5083,19
3290,ECLI-NL-RBROE-1999-AA3640,50
3291,ECLI-NL-RVS-2021-1835,67
3292,ECLI-NL-RBROT-2021-7538,42
3293,ECLI-NL-OGEAA-2021-65,Transport
3294,ECLI-NL-RBOBR-2020-2728,Production
3295,ECLI-NL-GHSHE-2019-4577,Production
3296,ECLI-NL-RBOBR-2019-2510,Possession
3297,ECLI-NL-RBNHO-2019-613,50
3298,ECLI-NL-RBAMS-2018-8902,40
3299,ECLI-NL-RBROT-2018-10762,42
3300,ECLI-NL-RBOVE-2018-5168,42
3301,ECLI-NL-RBOBR-2018-3136,3
3302,ECLI-NL-GHDHA-2017-2825,42
3303,ECLI-NL-RBNNE-2017-2676,27
3304,ECLI-NL-RBNNE-2017-2009,Selling
3305,ECLI-NL-OGEAA-2016-856,42
3306,ECLI-NL-RBGEL-2016-4495,Transport
3307,ECLI-NL-RBOBR-2016-229,23
3308,ECLI-NL-GHSHE-2015-3992,42
3309,ECLI-NL-GHSHE-2015-3550,44
3310,ECLI-NL-RBDHA-2015-6909,30
3311,ECLI-NL-PHR-2015-1388,42
3312,ECLI-NL-RBNHO-2013-CA1120,42
3313,ECLI-NL-RBSHE-2012-BY1317,13
3314,ECLI-NL-PHR-2011-BP6044,47
3315,ECLI-NL-RBHAA-2011-BQ1427,42
3316,ECLI-NL-OGHNAA-2010-BR7086,21
3317,ECLI-NL-RBSGR-2008-BE9232,3
3318,ECLI-NL-RBZUT-2008-BC3669,42
3319,ECLI-NL-RBBRE-2007-BA1561,Transport
3320,ECLI-NL-PHR-2004-AO4048,Production
3321,ECLI-NL-RBOVE-2021-2687,42
3322,ECLI-NL-PHR-2021-314,42
3323,ECLI-NL-RBNHO-2018-3709,Possession
3324,ECLI-NL-RBOVE-2019-3444,9
3325,ECLI-NL-RBGEL-2018-5711,Production
3326,ECLI-NL-PHR-2015-2656,42
3327,ECLI-NL-RBMAA-2010-BO4394,Production
3328,ECLI-NL-RBZUT-2008-BG0279,Production
3329,ECLI-NL-PHR-2002-AD7801,42
3330,ECLI-NL-RBMNE-2019-2356,11
3331,ECLI-NL-RBMNE-2019-2357,11
3332,ECLI-NL-RBMNE-2019-2358,11
3333,ECLI-NL-RBHAA-2009-BK8043,Transport
3334,ECLI-NL-GHSHE-2007-BB7469,42
3335,ECLI-NL-RBROT-2021-12206,13
3336,ECLI-NL-RBNHO-2020-9895,Possession
3337,ECLI-NL-GHARL-2020-5371,65
3338,ECLI-NL-RBNNE-2020-2399,Possession
3339,ECLI-NL-GHAMS-2020-1911,65
3340,ECLI-NL-RBROT-2020-4042,33
3341,ECLI-NL-RBDHA-2020-3562,20
3342,ECLI-NL-RBROT-2019-2836,27
3343,ECLI-NL-RBNNE-2018-5242,27
3344,ECLI-NL-OGEAC-2018-188,19
3345,ECLI-NL-OGEAC-2018-189,19
3346,ECLI-NL-PHR-2017-1380,42
3347,ECLI-NL-RBOBR-2017-2927,Possession
3348,ECLI-NL-RBMNE-2016-3259,51
3349,ECLI-NL-RBNHO-2013-8696,9
3350,ECLI-NL-GHSGR-2012-BX2759,21
3351,ECLI-NL-RVS-2010-BN0423,30
3352,ECLI-NL-OGHNAA-2008-BD8952,19
3353,ECLI-NL-RBLEE-2008-BD3362,42
3354,ECLI-NL-RBBRE-2007-BB4175,27
3355,ECLI-NL-RBSGR-2007-BA0916,22
3356,ECLI-NL-RVS-2006-AV7546,30
3357,ECLI-NL-GHARN-2006-AY5412,Production
3358,ECLI-NL-CRVB-2004-AR8543,5
3359,ECLI-NL-RBAMS-2004-AQ6064,40
3360,ECLI-NL-GHARN-2002-AN8939,42
3361,ECLI-NL-RBALM-2001-AD3265,42
3362,ECLI-NL-RBLEE-2001-AB0550,42
3363,ECLI-NL-RBGEL-2020-3265,Transport
3364,ECLI-NL-RBNNE-2018-472,6
3365,ECLI-NL-RBNNE-2018-474,6
3366,ECLI-NL-RBBRE-2008-BC7385,6
3367,ECLI-NL-RBBRE-2009-BH7182,Production
3368,ECLI-NL-RBOVE-2021-2493,3
3369,ECLI-NL-RBGEL-2020-5664,11
3370,ECLI-NL-RBNHO-2020-7245,42
3371,ECLI-NL-RBLIM-2020-6554,3
3372,ECLI-NL-RVS-2020-1147,42
3373,ECLI-NL-RBZWB-2020-77,3
3374,ECLI-NL-RBAMS-2019-9029,Transport
3375,ECLI-NL-RBDHA-2019-10916,Selling
3376,ECLI-NL-RBMNE-2019-1008,39
3377,ECLI-NL-PHR-2018-1070,42
3378,ECLI-NL-RBMNE-2018-4563,65
3379,ECLI-NL-RBOVE-2017-1979,Possession
3380,ECLI-NL-RBOBR-2017-266,42
3381,ECLI-NL-RBNNE-2014-4895,Possession
3382,ECLI-NL-RBGEL-2014-593,42
3383,ECLI-NL-RBOVE-2013-1502,42
3384,ECLI-NL-RBASS-2012-BW9094,42
3385,ECLI-NL-PHR-2011-BP9900,42
3386,ECLI-NL-RBALM-2010-BN9808,Production
3387,ECLI-NL-GHSHE-2009-BH6480,49
3388,ECLI-NL-RBSGR-2008-BF3313,Selling
3389,ECLI-NL-RBHAA-2008-BE9206,42
3390,ECLI-NL-GHSHE-2001-AB2225,Production
3391,ECLI-NL-RBROT-2021-10942,42
3392,ECLI-NL-RBAMS-2021-3456,Selling
3393,ECLI-NL-GHSHE-2019-4869,Production
3394,ECLI-NL-RBDHA-2018-12718,49
3395,ECLI-NL-RBNNE-2018-1853,69
3396,ECLI-NL-RVS-2016-3167,2
3397,ECLI-NL-RBMNE-2016-548,42
3398,ECLI-NL-RBMNE-2015-1209,42
3399,ECLI-NL-RBARN-2011-BQ8704,49
3400,ECLI-NL-RBBRE-2011-BP4358,Production
3401,ECLI-NL-GHAMS-2015-5789,42
3402,ECLI-NL-RBMNE-2017-1996,54
3403,ECLI-NL-RBROT-2013-BZ3908,53
3404,ECLI-NL-RBMAA-2010-BN1373,Selling
3405,ECLI-NL-RBAMS-2010-BL5208,Selling
3406,ECLI-NL-RBGEL-2019-932,52
3407,ECLI-NL-RBSHE-2011-BP2304,6
3408,ECLI-NL-RBDHA-2019-6107,46
3409,ECLI-NL-GHSGR-2012-BV1963,46
3410,ECLI-NL-HR-2021-1237,Production
3411,ECLI-NL-GHSHE-2019-3441,2
3412,ECLI-NL-OGEAA-2018-726,Transport
3413,ECLI-NL-RBMNE-2017-5619,21
3414,ECLI-NL-GHAMS-2015-1869,42
3415,ECLI-NL-RBNNE-2015-489,20
3416,ECLI-NL-RBDHA-2013-19241,46
3417,ECLI-NL-HR-2013-BZ3622,42
3418,ECLI-NL-RBONE-2013-BY9588,56
3419,ECLI-NL-RBALK-2012-BV7751,Selling
3420,ECLI-NL-RBAMS-2007-BD2830,40
3421,ECLI-NL-RBGEL-2021-2249,69
3422,ECLI-NL-RBROT-2020-12689,Transport
3423,ECLI-NL-RBLIM-2020-5884,50
3424,ECLI-NL-RBNNE-2020-4828,33
3425,ECLI-NL-RBAMS-2020-1419,40
3426,ECLI-NL-RBMNE-2020-466,5
3427,ECLI-NL-RVS-2019-4261,2
3428,ECLI-NL-RBOVE-2019-3687,Possession
3429,ECLI-NL-RBMNE-2019-4296,Possession
3430,ECLI-NL-RBZWB-2019-3286,Transport
3431,ECLI-NL-RBZWB-2019-2277,9
3432,ECLI-NL-RBLIM-2019-3652,42
3433,ECLI-NL-RBROT-2019-2068,42
3434,ECLI-NL-CRVB-2019-765,Selling
3435,ECLI-NL-RBROT-2018-11310,49
3436,ECLI-NL-RVS-2018-2438,30
3437,ECLI-NL-GHARL-2018-1831,24
3438,ECLI-NL-RVS-2017-2136,25
3439,ECLI-NL-RBDHA-2017-6957,30
3440,ECLI-NL-RVS-2017-902,51
3441,ECLI-NL-OGEAA-2017-219,Possession
3442,ECLI-NL-GHDHA-2017-536,42
3443,ECLI-NL-RBAMS-2017-1381,40
3444,ECLI-NL-RVS-2015-3516,50
3445,ECLI-NL-RBGEL-2014-5329,9
3446,ECLI-NL-RBOBR-2013-BZ6659,21
3447,ECLI-NL-RBSHE-2012-BY4900,20
3448,ECLI-NL-RBZLY-2011-BR1557,42
3449,ECLI-NL-CRVB-2010-BO2811,Selling
3450,ECLI-NL-RBBRE-2008-BC6317,42
3451,ECLI-NL-RBSGR-2005-AT3623,30
3452,ECLI-NL-RBMNE-2020-153,Transport
3453,ECLI-NL-RBMNE-2020-168,Transport
3454,ECLI-NL-RBNNE-2019-3019,Selling
3455,ECLI-NL-GHAMS-2017-5689,42
3456,ECLI-NL-RBAMS-2010-BL5033,Selling
3457,ECLI-NL-PHR-2001-AA9248,42
3458,ECLI-NL-HR-2011-BP9448,42
3459,ECLI-NL-RBROT-2021-1543,Transport
3460,ECLI-NL-RBOVE-2020-2627,54
3461,ECLI-NL-RBZWB-2019-3915,5
3462,ECLI-NL-RBOVE-2018-3474,16
3463,ECLI-NL-RBGEL-2018-1757,Transport
3464,ECLI-NL-PHR-2018-354,42
3465,ECLI-NL-PHR-2017-538,Selling
3466,ECLI-NL-RBOBR-2017-863,Transport
3467,ECLI-NL-RBMNE-2014-1274,Transport
3468,ECLI-NL-RBMNE-2014-1275,Transport
3469,ECLI-NL-RBUTR-2012-BX0885,Production
3470,ECLI-NL-RBAMS-2012-BW8884,20
3471,ECLI-NL-PHR-2008-BC4464,42
3472,ECLI-NL-RBAMS-2020-4513,Transport
3473,ECLI-NL-PHR-2003-AE9069,Selling
3474,ECLI-NL-RBROT-2017-1818,Transport
3475,ECLI-NL-RBZWB-2019-6296,Production
3476,ECLI-NL-RBZUT-2012-BW1489,Production
3477,ECLI-NL-RBOVE-2021-2240,52
3478,ECLI-NL-RBROT-2021-11828,67
3479,ECLI-NL-RBAMS-2021-6718,50
3480,ECLI-NL-RBOVE-2020-3382,9
3481,ECLI-NL-RBNHO-2019-9790,5
3482,ECLI-NL-RBAMS-2019-7045,54
3483,ECLI-NL-RVS-2019-2462,Selling
3484,ECLI-NL-PHR-2019-313,46
3485,ECLI-NL-OGEAC-2019-160,19
3486,ECLI-NL-RVS-2019-148,50
3487,ECLI-NL-RVS-2018-4242,25
3488,ECLI-NL-GHAMS-2018-4603,42
3489,ECLI-NL-GHAMS-2018-4296,42
3490,ECLI-NL-RBLIM-2018-9285,Possession
3491,ECLI-NL-RBNNE-2018-2087,49
3492,ECLI-NL-RBNNE-2017-2024,Possession
3493,ECLI-NL-GHDHA-2017-755,Transport
3494,ECLI-NL-RBMNE-2016-7751,42
3495,ECLI-NL-GHSHE-2016-3800,2
3496,ECLI-NL-RBLIM-2016-5693,20
3497,ECLI-NL-PHR-2016-271,42
3498,ECLI-NL-RBDHA-2016-6452,9
3499,ECLI-NL-RBMNE-2015-6444,42
3500,ECLI-NL-RBOBR-2015-4649,21
3501,ECLI-NL-RBOBR-2015-2633,42
3502,ECLI-NL-GHARL-2014-9147,56
3503,ECLI-NL-RBLIM-2013-BZ9981,50
3504,ECLI-NL-RBAMS-2012-BY0763,51
3505,ECLI-NL-RBMAA-2012-BX1281,42
3506,ECLI-NL-RBARN-2011-BT7493,55
3507,ECLI-NL-PHR-2010-BN0039,Possession
3508,ECLI-NL-RBZUT-2010-BN8797,42
3509,ECLI-NL-GHSGR-2010-BO0937,Selling
3510,ECLI-NL-RBROT-2010-BR4369,5
3511,ECLI-NL-RBZLY-2009-BJ1479,Selling
3512,ECLI-NL-PHR-2009-BH5249,Selling
3513,ECLI-NL-RBZUT-2008-BC7031,Production
3514,ECLI-NL-RBZUT-2007-AZ7312,42
3515,ECLI-NL-PHR-2001-AB2066,46
3516,ECLI-NL-RBGRO-2000-AA8145,13
3517,ECLI-NL-GHAMS-2000-AA9215,Money laundering
3518,ECLI-NL-GHARL-2021-9046,Selling
3519,ECLI-NL-GHARL-2021-6501,65
3520,ECLI-NL-GHAMS-2020-1083,Possession
3521,ECLI-NL-RBAMS-2019-9225,Selling
3522,ECLI-NL-RBZWB-2019-3012,Possession
3523,ECLI-NL-RBDHA-2019-5287,26
3524,ECLI-NL-GHARL-2018-10677,27
3525,ECLI-NL-RBDHA-2018-16217,46
3526,ECLI-NL-RVS-2017-90,42
3527,ECLI-NL-RBNNE-2016-2292,42
3528,ECLI-NL-RBNNE-2016-2293,23
3529,ECLI-NL-HR-2015-2473,42
3530,ECLI-NL-RBROT-2014-9523,20
3531,ECLI-NL-GHAMS-2014-4922,42
3532,ECLI-NL-RVS-2014-3055,Selling
3533,ECLI-NL-RBAMS-2014-363,40
3534,ECLI-NL-OGHACMB-2012-BX8354,21
3535,ECLI-NL-RBBRE-2011-BQ4966,Transport
3536,ECLI-NL-RBBRE-2010-BP0234,20
3537,ECLI-NL-RBZLY-2010-BN1208,60
3538,ECLI-NL-RBUTR-2009-BK9195,9
3539,ECLI-NL-RBZLY-2008-BF1264,42
3540,ECLI-NL-RBASS-2008-BD7146,42
3541,ECLI-NL-PHR-2008-BC9965,40
3542,ECLI-NL-RBLEE-2007-BB1540,50
3543,ECLI-NL-RBLEE-2007-BB2241,50
3544,ECLI-NL-RVS-2005-AU2980,51
3545,ECLI-NL-GHARN-2003-AF8775,44
3546,ECLI-NL-RBSGR-2002-AE5489,22
3547,ECLI-NL-RBOBR-2021-4329,42
3548,ECLI-NL-GHARL-2021-4102,42
3549,ECLI-NL-RBDHA-2013-10983,46
3550,ECLI-NL-RBOVE-2021-2826,42
3551,ECLI-NL-RBOVE-2021-1818,Production
3552,ECLI-NL-RBGEL-2018-5607,Production
3553,ECLI-NL-RBGEL-2018-5194,42
3554,ECLI-NL-RBOBR-2018-347,Production
3555,ECLI-NL-RBGEL-2016-1716,Possession
3556,ECLI-NL-RBNNE-2015-4285,Possession
3557,ECLI-NL-RBNHO-2014-4763,Possession
3558,ECLI-NL-RBBRE-2006-AX6250,53
3559,ECLI-NL-PHR-2015-2038,6
3560,ECLI-NL-GHARL-2021-7360,Selling
3561,ECLI-NL-RBAMS-2021-4049,46
3562,ECLI-NL-RBZWB-2021-2020,42
3563,ECLI-NL-RBNHO-2021-777,50
3564,ECLI-NL-RBGEL-2021-921,Transport
3565,ECLI-NL-GHAMS-2021-554,Transport
3566,ECLI-NL-RBZWB-2020-6539,54
3567,ECLI-NL-GHSHE-2020-3072,Selling
3568,ECLI-NL-RBZWB-2020-545,38
3569,ECLI-NL-RBDHA-2019-10319,42
3570,ECLI-NL-RBOBR-2019-3949,Possession
3571,ECLI-NL-RBGEL-2019-2510,0
3572,ECLI-NL-RBAMS-2019-10223,Selling
3573,ECLI-NL-GHSHE-2018-3220,63
3574,ECLI-NL-RBDHA-2017-2323,37
3575,ECLI-NL-RBOVE-2015-3067,Possession
3576,ECLI-NL-RBLIM-2015-4268,54
3577,ECLI-NL-RBSGR-2012-BW4211,64
3578,ECLI-NL-PHR-2011-BP4643,Selling
3579,ECLI-NL-RVS-2011-BP7160,60
3580,ECLI-NL-PHR-2010-BO1576,Selling
3581,ECLI-NL-GHSGR-2006-AZ4153,42
3582,ECLI-NL-RBSGR-2002-AE3809,0
3583,ECLI-NL-RBDHA-2017-1907,46
3584,ECLI-NL-RBZWB-2021-3966,67
3585,ECLI-NL-RBNNE-2021-950,27
3586,ECLI-NL-RVS-2020-2704,42
3587,ECLI-NL-RBZWB-2020-4369,9
3588,ECLI-NL-RBGEL-2020-3501,3
3589,ECLI-NL-RBNHO-2020-9339,50
3590,ECLI-NL-GHAMS-2020-1395,21
3591,ECLI-NL-RBAMS-2020-1048,42
3592,ECLI-NL-RVS-2020-363,Selling
3593,ECLI-NL-GHAMS-2019-4991,Selling
3594,ECLI-NL-RBROT-2019-8758,42
3595,ECLI-NL-RBOBR-2019-4397,42
3596,ECLI-NL-PHR-2019-463,65
3597,ECLI-NL-GHDHA-2018-823,21
3598,ECLI-NL-RBROT-2017-9027,42
3599,ECLI-NL-OGEAM-2017-78,Transport
3600,ECLI-NL-OGEAA-2017-433,Transport
3601,ECLI-NL-RBDHA-2017-5381,64
3602,ECLI-NL-HR-2016-2592,42
