RBASS	Rechtbank Assen (opgeheven)
RBBRE	Rechtbank Breda (opgeheven)
RBDHA	Rechtbank Den Haag
RBDOR	Rechtbank Dordrecht (opgeheven)
RBGL	Rechtbank Gelderland
RBGRO	Rechtbank Groningen (opgeheven)
RBHAA	Rechtbank Haarlem (opgeheven)
RBLEE	Rechtbank Leeuwarden (opgeheven)
RBLIM	Rechtbank Limburg
RBMAA	Rechtbank Maastricht (opgeheven)
RBMID	Rechtbank Middelburg (opgeheven)
RBMNE	Rechtbank Midden-Nederland
RBNHO	Rechtbank Noord-Holland
RBNNE	Rechtbank Noord-Nederland
RBOBR	Rechtbank Oost-Brabant
RBONE	Rechtbank Oost-Nederland (opgeheven)
RBOVE	Rechtbank Overijssel
RBROE	Rechtbank Roermond (opgeheven)
RBROT	Rechtbank Rotterdam
RBSGR	Rechtbank 's-Gravenhage (opgeheven)
RBSHE	Rechtbank 's-Hertogenbosch (opgeheven)
RBUTR	Rechtbank Utrecht (opgeheven)
RBZLY 	Rechtbank Zwolle-Lelystad (opgeheven)
RBZUT	Rechtbank Zutphen (opgeheven)
RBZWB	Rechtbank Zeeland-West-Brabant
RBZWO	Rechtbank Zwolle (opgeheven)
RVBALK	Raad van beroep Alkmaar (opgeheven)
RVBAMS	Raad van beroep Amsterdam (opgeheven)
RVBARN	Raad van beroep Arnhem (opgeheven)
RVBBRE	Raad van beroep Breda (opgeheven)
RVBGRO	Raad van beroep Groningen (opgeheven)
RVBHAA	Raad van beroep Haarlem (opgeheven)
RVBLDN	Raad van beroep Leiden (opgeheven)
RVBLEE	Raad van beroep Leeuwarden (opgeheven)
RVBMID	Raad van beroep Middelburg (opgeheven)
RVBROE	Raad van beroep Roermond (opgeheven)
RVBROT	Raad van beroep Rotterdam (opgeheven)
RVBSGR	Raad van beroep 's-Gravenhage (opgeheven)
RVBSHE	Raad van beroep 's-Hertogenbosch (opgeheven)
RVBTIL	Raad van beroep Tilburg (opgeheven)
RVBUTR	Raad van beroep Utrecht (opgeheven)
RVBZWO	Raad van beroep Zwolle (opgeheven)
RVS	Raad van State
TACAKN	Accountantskamer NIVRA
TADRAMS	Raad van Discipline Amsterdam
TADRARL	Raad van Discipline Arnhem-Leeuwarden
TADRARN	Raad van Discipline Arnhem (opgeheven)
TADRLEE	Raad van Discipline Leeuwarden (opgeheven)
TADRSGR	Raad van Discipline 's-Gravenhage
TADRSHE	Raad van Discipline 's-Hertogenbosch
TAHVD	Hof van Discipline
TAKTPA	Tuchtgerecht Productschap Akkerbouw
TBBBKD	Tuchtgerecht Bloembollenkeuringsdienst
TBPSKAL	Skal-Tuchtgerecht
TDIVBC	Veterinair Beroepscollege
TDIVTC	Veterinair Tuchtcollege
TGDKG	Kamer voor Gerechtsdeurwaarders
TGFKCB	Tuchtgerecht Kwaliteits-Controle-Bureau
TGZCTG	Centraal Tuchtcollege voor de Gezondheidszorg
TGZRAMS	Regionaal Tuchtcollege voor de Gezondheidszorg Amsterdam
TGZREIN	Regionaal Tuchtcollege voor de Gezondheidszorg Eindhoven
TGZRGRO	Regionaal Tuchtcollege voor de Gezondheidszorg Groningen
TGZRSGR	Regionaal Tuchtcollege voor de Gezondheidszorg 's-Gravenhage
TGZRZWO	Regionaal Tuchtcollege voor de Gezondheidszorg Zwolle
TNOKALK	Kamer van Toezicht over de notarissen en kandidaat-notarissen Alkmaar (opgeheven)
TNOKALM	Kamer van Toezicht over de notarissen en kandidaat-notarissen Almelo (opgeheven)
